"period","year","glqstar","glfstar","rgfr_star","rgfop_star","rbudp_star","UN_path","PISTAR","tp_0","LF_fb","PROD_fb","epsxgap","epsu","epspi","epspie","epsrf","epsmpe","epstp","epsrg","gstar","LFstar","LQstar","CEstar","GDPstar","GDP$star2","rfstar","rbar10","gradual_growth","debt_contrib","debt_proxy_user","debt_proxy_base","xgap","U","PI","PIE","RF","MPE10","TP","R10","RG","ugap","real_r10","GDP","PGDP","GDP$star","GDP$","BUDP","NI","BUD","D","D_pct_GDP","solver_sse","solver_converged","solver_termcd"
1,2026,3.20023382412042,-0.00327948203802997,17.726081984713,20.3067363691941,-2.58065438448112,4.4,2,0.7,0,0,-6.88847954868691,0.787927285857816,0.462011898654862,0,-0.91400000039876,-0.060843750054993,0,-0.080474622175133,3.20764516977241,171.551373819,141.23468,164.003113370964,24231.8340280044,31624.3535245476,1.04787760267391,1.79682627524028,0.06378,-0.0159023973260949,100.242354819232,101.037474685536,1.05435716523003,4.54945713444953,2.81813571658321,2.33694071572796,3.62069190099204,3.44611934980097,0.7,4.14611935236225,3.34529930516455,-0.149457134449528,1.80917863663429,24487.3241063453,131.554262377332,31878.0105160406,32214.1186040493,-822.661276067555,1040.50800079063,-1863.16927685819,32035.1692768582,99.4445003155585,2.98787704195416e-17,TRUE,1
2,2027,3.22174475889102,-0.00490366337493003,17.8165965305319,19.894219733299,-2.0776232027671,4.38,2,0.85,0.0584776,-0.3435,-5.52341968240056,0.720000000131127,-0.119199999417659,0,-0.280000001226053,-0.020037500186304,0,-0.077871473192496,3.2382765603481,171.542961517113,145.784900900636,164.029379802663,25016.5278294757,33301.4063031366,1.1047195307119,1.98889156257031,0.141813333333333,-0.0370938026214321,100.686336651613,102.541026782684,0.686733163382136,4.61443530599873,2.39972939041272,2.32208324819352,3.38974300431255,3.45789094412377,0.85,4.30789094263421,3.36664990851027,-0.234435305998731,1.98580769444069,25188.3246224074,134.711208675942,33700.0670078401,33931.4965440649,-700.160411502947,1108.96546447467,-1809.12587597762,33844.2951528358,99.7430075295503,2.55519485382587e-17,TRUE,1
3,2028,3.18765333465311,-0.00476147635526697,17.6115480234511,19.5466729664943,-1.93512494304314,4.36,2,1,0.115374,-0.687,-5.18691914798015,0.533800000414034,-0.138119998692841,0,0.125999998865835,-0.043822500614181,0,0.025987966880693,3.20432191120719,171.534793539561,150.432018155616,164.055876541236,25818.1379121388,35055.8603732891,1.15330049916433,2.17352844606698,0.21508,-0.0617795008356742,101.132744172511,104.221719214295,0.350297738801052,4.61633426448951,2.15870275447782,2.2408607746256,3.34037174249629,3.38205278604275,1,4.38205278425028,3.49242628493616,-0.256334264489512,2.14119200962468,25908.5782654456,137.61922324822,35530.7208518396,35655.1841635633,-687.563841646977,1215.21360979807,-1902.77745144504,35747.0726042809,100.257714110509,6.25066283654374e-17,TRUE,1
4,2029,3.22418477882997,-0.00477384912247297,17.5977902521607,18.6630681482848,-1.06527789612403,4.34,2,1,0.1728064,-1.0534,-4.3408511061976,0.290399999879734,-0.12567200028246,0,0.289000000193048,0.058650250152151,0,0.014646543908839,3.2408419674512,171.526604727325,155.282224387476,164.082350082159,26654.8629608099,36915.8047164841,1.22111411499287,2.38815974685128,0.312373333333333,-0.091259218340459,100.813866454554,105.376827371577,0.065350140189519,4.53420038692458,2.02555966732019,2.15218436509704,3.36703306290171,3.4589169447065,1,4.45891694488956,3.59536234692347,-0.194200386924583,2.30673257979253,26672.2819511221,140.406782728815,37425.2355240477,37449.692967929,-398.682761610039,1316.06244020763,-1714.74520181766,37461.8178060985,100.032376335315,8.3636269586679e-17,TRUE,1
5,2030,3.16949138627003,-0.00462856358583202,17.6430302673608,18.5233981264359,-0.880367859075129,4.31,2,1,0.233428,-1.4198,-4.1216497340663,0.071399999545583,-0.112653200173491,0,0.258000000512279,0.062077650043074,0,0.019882225662674,3.19706968007034,171.518665509359,160.203881113846,164.126211025905,27507.0375027942,38857.9492905533,1.35864330960192,2.57104184057537,0.382533333333333,-0.123890023731413,100.470064721337,106.664565907908,-0.129115267424854,4.4199760701136,1.94872479881428,2.07592805855114,3.40411683762915,3.50327189540834,1,4.50327189515527,3.69328582693937,-0.109976070113598,2.42734383660413,27471.5217177618,143.142924523069,39374.377931157,39323.5395977943,-346.639368016677,1416.12395146697,-1762.76331948365,39224.5811255822,99.7483480042126,7.33483758748742e-17,TRUE,1
6,2031,3.19673977474807,0.00571963518152896,17.6666812410143,18.0621944879306,-0.395513246916366,4.28,2,1,0.2975068,-1.8091,-3.46924827022561,-0.061199999910436,-0.077741919868648,0,0.214999999648445,0.042602839771074,0,0.033257943593554,3.23499755816294,171.528475751294,165.325182302102,164.187056989139,28396.8894943326,40917.30306128,1.5278645818891,2.79591223498644,0.48872,-0.160855418110904,99.7757184372881,107.818489342833,-0.303825501492164,4.36615326074261,1.91304619362841,2.01947069309299,3.48280370769115,3.57745597818942,1,4.57745597816034,3.80092864397198,-0.0861532607426065,2.55798528506735,28310.6125024182,145.881314792106,41425.7557543937,41299.893744226,-163.844351643846,1522.95536630322,-1686.79971794707,40911.3808435292,99.0592883771012,4.37774402656667e-17,TRUE,1
7,2032,3.15674882862794,0.00605981110374298,17.6442784776922,17.7153291137856,-0.0710506360933145,4.26,2,1,0.3578872,-2.1984,-2.9423332905302,-0.166599999959146,-0.051445151885683,0,0.118999999603985,0.011624203850226,0,0.043473991516131,3.18455509361957,171.538870052914,170.544083057851,164.231314188659,29301.2040851539,43064.7438624916,1.67850797022142,3.00395683039841,0.583053333333333,-0.204545363111916,98.8241934377668,109.051461593363,-0.437767620023971,4.32927214329724,1.89749525565071,1.98093099249532,3.52322633798867,3.63343457158948,1,4.63343457158948,3.90913974120829,-0.0692721432972423,2.65250357909415,29172.9329013919,148.649405819167,43556.0657704427,43365.3914179433,-30.9468617871219,1631.78224946987,-1662.72911125699,42574.1099547862,98.175315759217,2.56070173793851e-17,TRUE,1
8,2033,3.22929098009459,0.00494791461041999,17.608225907511,17.7954514308486,-0.187225523337631,4.24,2,1,0.4144352,-2.6106,-3.20634284677382,-0.236199999929887,-0.029267091393292,0,0.054000000359296,0.005418272425183,0,0.011937342037055,3.25596425041694,171.547357649727,176.051447749123,164.273749685379,30255.2408151082,45356.2548577317,1.82892333347553,3.32452332639589,0.734933333333334,-0.256009999857802,98.0173406878924,110.817840680783,-0.545824265857343,4.30968322963391,1.89252522527125,1.95631616309135,3.59829055479453,3.73572981402683,1,4.73572981402683,3.98301281150821,-0.0696832296339078,2.77941365093548,30090.1003690457,151.46263332151,45825.3844563273,45575.2583880422,-85.79681586984,1731.93244862644,-1817.72926449628,44391.8392192825,97.4033736491767,6.95011087814749e-19,TRUE,1
9,2034,3.20721536457327,0.00505436757981698,17.5966738638111,17.1478147418816,0.448859121929416,4.22,2,1,0.4689196,-3.0228,-2.9567140345786,-0.277800000059309,-0.023860254329905,0,0.053999998980524,0.027500963146884,0,0.012187013666376,3.23398831777557,171.556028283757,181.697796830887,164.316363890182,31233.6917685836,47759.5322580354,1.87139526270364,3.63809191403108,0.83604,-0.314644737296359,96.5996107930899,112.331847657908,-0.605868829171371,4.29371238466495,1.88213234368516,1.93842940093894,3.61594756438953,3.7773118647463,1,4.7773118647463,4.05015871346451,-0.0737123846649457,2.83888246380736,31044.4565659583,154.313360531852,48197.7593862618,47905.7441857814,216.340039570828,1830.63060929203,-1614.2905697212,46006.1297890037,96.0346834621525,3.48597303396993e-19,TRUE,1
10,2035,3.18895955227678,0.00444352750355698,17.6229761873182,16.3970761454669,1.22590004185125,4.2,2,1,0.521461,-3.435,-2.6668245802919,-0.296599999882455,-0.013766152741351,0,0.044999999737898,0.044419327941066,0,0.004388897967632,3.21509281815406,171.563651423057,187.492066079202,164.357978063289,32237.8839494798,50280.9464606405,1.90817011133989,3.94686039452573,0.9386,-0.380429888660108,94.4288350309776,113.450329463983,-0.624335052563323,4.27430778677153,1.87793777287782,1.92643897242888,3.63473787001852,3.8152679155611,1,4.8152679155611,4.10336380879265,-0.0743077867715263,2.88882894313223,32036.6115397785,157.211269417877,50681.586590439,50365.1636801597,621.30559122307,1914.32757770466,-1293.02198648159,47299.1517754853,93.9124353409336,5.83093821657203e-20,TRUE,1
