"period","year","glqstar","glfstar","rgfr_star","rgfop_star","rbudp_star","UN_path","PISTAR","tp_0","LF_fb","PROD_fb","epsxgap","epsu","epspi","epspie","epsrf","epsmpe","epstp","epsrg","gstar","LFstar","LQstar","CEstar","GDPstar","GDP$star2","rfstar","rbar10","gradual_growth","debt_contrib","debt_proxy_user","debt_proxy_base","xgap","U","PI","PIE","RF","MPE10","TP","R10","RG","ugap","real_r10","GDP","PGDP","GDP$star","GDP$","BUDP","NI","BUD","D","D_pct_GDP","solver_sse","solver_converged","solver_termcd"
1,2026,1.60023382412042,0.64002051796197,17.726081984713,20.3045363691941,-2.57845438448112,4.4,2,0.7,0,0,-6.88847954868691,0.787927285857816,0.462011898654862,0,-0.91400000039876,-0.060843750054993,0,-0.080474622175133,2.26119294439677,172.655,139.045,165.05818,24009.6191600747,31334.3465224487,1,1.75,0,0,101.037474685536,101.037474685536,1.05299999336739,4.55000000321788,2.81799999939112,2.33690000056977,3.57199999516561,3.39800000275584,0.7,4.09800000732942,3.33724124382111,-0.150000003217877,1.76110000675965,24262.4404482378,131.554088729221,31585.6356933927,31918.2324351491,-814.421208402518,1037.81929509443,-1852.24050349695,32024.240503497,100.332123868586,8.91107710579714e-17,TRUE,1
2,2027,1.72174475889102,0.43149633662507,17.8165965305319,20.174987133299,-2.3583906027671,4.38,2,0.85,0,0,-5.52341968240056,0.720000000131127,-0.119199999417659,0,-0.280000001226053,-0.020037500186304,0,-0.077871473192496,2.1820428862569,173.4,141.439,165.80508,24533.5193469745,32658.4369097308,1,1.75,0,0,102.541026782684,102.541026782684,0.860999988399002,4.54500000777035,2.41699999863363,2.32724000087098,3.38899998827086,3.3839999973566,0.85,4.2339999973566,3.35249622926345,-0.165000007770346,1.90675999648562,24744.7529457058,134.733751052009,33054.930881249,33339.5338323018,-779.564383654535,1105.20486431423,-1884.76924796876,33909.0097514657,101.708110023459,4.29625368560408e-18,TRUE,1
3,2028,1.68765333465311,0.419838523644733,17.6115480234511,20.1121499664943,-2.50060194304314,4.36,2,1,0,0,-5.18691914798015,0.533800000414034,-0.138119998692841,0,0.125999998865835,-0.043822500614181,0,0.025987966880693,2.1359356911304,174.128,143.826,166.5360192,25057.5395429969,34023.1201222481,1,1.75,0,0,104.221719214295,104.221719214295,0.563999993871993,4.49600000042924,2.20000000108383,2.25634399933364,3.39000000060427,3.29399999890878,1,4.29399999890878,3.47513482466941,-0.136000000429235,2.03765599957514,25198.8640644838,137.697893576613,34503.7041328336,34698.3050220284,-862.800295967492,1214.47791584573,-2077.27821181322,35986.2879632789,103.711947717426,2.61915415429647e-17,TRUE,1
4,2029,1.62418477882997,0.423826150877527,17.5977902521607,19.5357747482848,-1.93798449612403,4.34,2,1,0,0,-4.3408511061976,0.290399999879734,-0.12567200028246,0,0.289000000193048,0.058650250152151,0,0.014646543908839,2.07623611642491,174.866,146.162,167.2768156,25577.793228876,35424.110838764,1,1.75,0,0,105.376827371577,105.376827371577,0.268999994490824,4.40999999993624,2.08499999970905,2.17930639908449,3.38899999967491,3.32399999899395,1,4.3239999997058,3.56892556438045,-0.0699999999362371,2.14469360062131,25646.5974912526,140.568894657285,35954.4212195569,36051.1386106567,-696.791108906141,1320.31839924195,-2017.10950814809,38003.397471427,105.415248827102,1.19517649476596e-17,TRUE,1
5,2030,1.56949138627003,0.447771436414168,17.6430302673608,19.7002691264359,-2.05723885907513,4.31,2,1,0,0,-4.1216497340663,0.071399999545583,-0.112653200173491,0,0.258000000512279,0.062077650043074,0,0.019882225662674,2.05628646645455,175.649,148.456,168.0785281,26103.7459294591,36875.5826765195,1.1,1.75,0,0,106.664565907908,106.664565907908,0.0289999966688298,4.31600000423443,2.01799999842358,2.11298383891304,3.387999993125,3.33999999745733,1,4.33999999808582,3.653853528615,-0.00600000423443525,2.22701615917278,26111.3160149091,143.405574949253,37434.2269334331,37445.0828579968,-770.111463068953,1428.76025544158,-2198.87171851053,40202.2691899376,107.363280093135,5.80042319267229e-18,TRUE,1
6,2031,1.49673977474807,0.483919635181529,17.6666812410143,19.5647756879306,-1.89809444691637,4.28,2,1,0,0,-3.46924827022561,-0.061199999910436,-0.077741919868648,0,0.214999999648445,0.042602839771074,0,0.033257943593554,2.01987689798981,176.499,150.678,168.9448428,26631.0094629982,38372.8325330417,1.2,1.75,0,0,107.818489342833,107.818489342833,-0.174999999717544,4.28299999966425,1.9869999988836,2.06389030295168,3.3859999977514,3.34899999855944,1,4.34899999857302,3.73876921716415,-0.00299999966424913,2.28510969562134,26584.4051965132,146.255043721894,38949.1945336897,38881.0334433658,-739.292498562617,1545.78698931511,-2285.07948787772,42487.3486778153,109.275255606831,1.20273996828338e-18,TRUE,1
7,2032,1.45674882862794,0.456659811103743,17.6442784776922,19.5472869137856,-1.90300843609331,4.26,2,1,0,0,-2.9423332905302,-0.166599999959146,-0.051445151885683,0,0.118999999603985,0.011624203850226,0,0.043473991516131,1.94135648397977,177.305,152.873,169.751807,27148.0122919574,39900.1417256187,1.3,1.75,0,0,109.051461593363,109.051461593363,-0.328999999352042,4.25999999572152,1.97400000010158,2.03053418187282,3.36700000395591,3.35700000008964,1,4.35700000021874,3.81928167278108,4.278477128139e-09,2.32646581834592,27058.6953316928,149.142118285112,40489.120604528,40355.9113980014,-770.511380804163,1669.30321719806,-2439.81459800223,44927.1632758175,111.327341446295,1.61355324157943e-17,TRUE,1
8,2033,1.42929098009459,0.42694791461042,17.608225907511,19.9834662308486,-2.37524032333763,4.24,2,1,0,0,-3.20634284677382,-0.236199999929887,-0.029267091393292,0,0.054000000359296,0.005418272425183,0,0.011937342037055,1.88362017432016,178.062,155.058,170.5121712,27659.3777284156,41464.7430216397,1.35,1.8,0,0,110.817840680783,110.817840680783,-0.426000000690685,4.24000000010804,1.9729999995669,2.01022050899677,3.34999999938506,3.36499999952238,1,4.36499999963839,3.85450540256323,-1.08036246615484e-10,2.35477949064162,27541.5487791015,152.084692278232,42065.6795043347,41886.4797093557,-999.160981872931,1785.38517674519,-2784.54615861812,47711.7094344356,113.907183810863,6.04925552538566e-20,TRUE,1
9,2034,1.40721536457327,0.411654367579817,17.5966738638111,19.6938651418816,-2.09719127807059,4.22,2,1,0,0,-2.9567140345786,-0.277800000059309,-0.023860254329905,0,0.053999998980524,0.027500963146884,0,0.012187013666376,1.84592923363163,178.795,157.24,171.249851,28169.9502677451,43074.7558914209,1.35,1.9,0,0,112.331847657908,112.331847657908,-0.47900000032566,4.21900000020909,1.96799999989966,1.99653230536545,3.34099999857074,3.37199999906274,1,4.37199999886556,3.88420818228456,0.000999999790908035,2.37546769350011,28035.0162058708,155.077719022115,43685.3163248831,43476.0636595447,-916.164643762995,1908.07173195656,-2824.23637571955,50535.9458101552,116.238549574993,4.23215127566725e-20,TRUE,1
10,2035,1.38895955227678,0.396543527503557,17.6229761873182,19.3030391454669,-1.68006295814875,4.2,2,1,0,0,-2.6668245802919,-0.296599999882455,-0.013766152741351,0,0.044999999737898,0.044419327941066,0,0.004388897967632,1.81226607935601,179.504,159.424,171.964832,28680.4647210189,44732.4927828307,1.35,2,0,0,113.450329463983,113.450329463983,-0.496999998791942,4.19799999969945,1.96899999996634,1.98861938321218,3.33499999997112,3.37999999976705,1,4.37999999964716,3.90156238315995,0.00200000030054603,2.39138061643497,28537.9228117019,158.131199309608,45352.7628309161,45127.3596001944,-761.954968819276,2026.0799117683,-2788.03488058758,53323.9806907428,118.163307499411,1.1755351597876e-20,TRUE,1
