year,glqstar,glfstar,rgfr_star,rgfop_star,rbudp_star,UN,pistar,rfstar,tp_0,rbar10,gstar
2026,1.600233824120423,0.64002051796197,17.726081984712998,20.304536369194121,-2.578454384481123,4.4,2,1,0.7,1.75,2.261192944396773
2027,1.72174475889102,0.43149633662507,17.816596530531925,20.174987133299023,-2.358390602767098,4.38,2,1,0.85,1.75,2.182042886256896
2028,1.687653334653105,0.419838523644733,17.611548023451121,20.112149966494258,-2.500601943043137,4.36,2,1,1,1.75,2.135935691130397
2029,1.624184778829973,0.423826150877527,17.597790252160742,19.535774748284773,-1.937984496124031,4.34,2,1,1,1.75,2.076236116424912
2030,1.569491386270028,0.447771436414168,17.643030267360796,19.700269126435924,-2.057238859075127,4.31,2,1.1,1,1.75,2.056286466454549
2031,1.496739774748068,0.483919635181529,17.666681241014274,19.564775687930641,-1.898094446916367,4.28,2,1.2,1,1.75,2.019876897989814
2032,1.456748828627941,0.456659811103743,17.644278477692239,19.547286913785552,-1.903008436093312,4.26,2,1.3,1,1.75,1.941356483979773
2033,1.429290980094589,0.42694791461042,17.608225907510953,19.983466230848585,-2.375240323337632,4.24,2,1.35,1,1.8,1.883620174320155
2034,1.407215364573267,0.411654367579817,17.596673863811059,19.693865141881645,-2.097191278070586,4.22,2,1.35,1,1.9,1.845929233631627
2035,1.388959552276781,0.396543527503557,17.622976187318176,19.303039145466926,-1.680062958148749,4.2,2,1.35,1,2,1.812266079356006
