"period","year","glqstar","glfstar","rgfr_star","rgfop_star","rbudp_star","UN_path","PISTAR","tp_0","LF_fb","PROD_fb","epsxgap","epsu","epspi","epspie","epsrf","epsmpe","epstp","epsrg","gstar","LFstar","LQstar","CEstar","GDPstar","GDP$star2","rfstar","rbar10","gradual_growth","debt_contrib","debt_proxy_user","debt_proxy_base","xgap","U","PI","PIE","RF","MPE10","TP","R10","RG","ugap","real_r10","GDP","PGDP","GDP$star","GDP$","BUDP","NI","BUD","D","D_pct_GDP","solver_sse","solver_converged","solver_termcd"
1,2026,2.50023382412042,0.64002051796197,17.726081984713,20.3045363691941,-2.57845438448112,4.4,2,0.7,0,0,-6.88847954868691,0.787927285857816,0.462011898654862,0,-0.91400000039876,-0.060843750054993,0,-0.080474622175133,3.16704788375921,172.655,140.276695,165.05818,24222.3023048938,31611.9139138685,1.04469636488242,1.79469636488242,0.06,-0.0153036351175831,100.272292929657,101.037474685536,1.05299999155065,4.55000000394457,2.81799999920945,2.33690000051527,3.61669635895798,3.44269636719133,0.7,4.14269637151827,3.34469063762826,-0.150000003944571,1.805796371003,24477.3631461177,131.554088728988,31865.4290663837,32200.9720317604,-821.635552895894,1040.29801809916,-1861.93357099506,32033.9335709951,99.4812626755474,8.04727119811285e-17,TRUE,1
2,2027,2.50174475889102,0.43149633662507,17.8165965305319,19.996367133299,-2.1797706027671,4.38,2,0.85,0,-0.17862,-5.52341968240056,0.720000000131127,-0.119199999417659,0,-0.280000001226053,-0.020037500186304,0,-0.077871473192496,2.96557244171425,173.4,143.786059865108,165.80508,24940.6322267964,33200.3758836206,1.07353677028795,1.90889500037644,0.104,-0.0304632297120503,101.017865297082,102.541026782684,0.750810114118366,4.58907595880569,2.40598101084819,2.32393430131234,3.39642283195259,3.43790919294023,0.85,4.28790919294023,3.36458983316373,-0.209075958805689,1.96397489162789,25127.8890160802,134.719255122802,33599.8339588577,33852.1049105478,-732.399303213737,1108.78461556262,-1841.18391877636,33875.1174897714,100.067979758672,1.24091471903553e-17,TRUE,1
3,2028,2.4976533346531,0.419838523644733,17.6115480234511,19.7480399664943,-2.13649194304314,4.36,2,1,0,-0.36411,-5.18691914798015,0.533800000414034,-0.138119998692841,0,0.125999998865835,-0.043822500614181,0,0.025987966880693,2.94950651508825,174.128,147.377337184095,166.5360192,25676.25779923,34863.2155960086,1.11399299784217,2.03799246686872,0.162,-0.0480070021578268,101.821369106403,104.221719214295,0.42566269937126,4.57337290005572,2.17349443233163,2.2464089113006,3.37360896131554,3.36608284209788,1,4.36608284209788,3.49132837620982,-0.213372900055723,2.11967393079728,25785.5520512757,137.647370632175,35342.6937373788,35493.1344015719,-755.09380415351,1217.11981627963,-1972.21362043314,35847.3311102046,100.997930204262,5.88117635574133e-18,TRUE,1
4,2029,2.50418477882997,0.423826150877527,17.5977902521607,18.9701447482848,-1.37235449612403,4.34,2,1,0,-0.56563,-4.3408511061976,0.290399999879734,-0.12567200028246,0,0.289000000193048,0.058650250152151,0,0.014646543908839,2.96015058991315,174.866,151.067938029304,167.2768156,26436.3136959415,36613.1236636993,1.16609731741508,2.18639837936199,0.234666666666667,-0.0685693492515839,101.948359908998,105.376827371577,0.135224923315141,4.49117748551876,2.0464852999342,2.16179093664134,3.39689043195777,3.43412484919407,1,4.43412485043039,3.59395870495635,-0.151177485518764,2.27233391378904,26472.0621808642,140.464303837909,37133.5839934099,37183.7978538891,-509.604409505554,1321.23813951195,-1830.84254901751,37678.1736592221,101.329546291306,2.83225745922526e-17,TRUE,1
5,2030,2.49949138627003,0.447771436414168,17.6430302673608,18.9216691264359,-1.27863885907513,4.31,2,1,0,-0.7786,-4.1216497340663,0.071399999545583,-0.112653200173491,0,0.258000000512279,0.062077650043074,0,0.019882225662674,2.99074370472947,175.649,154.843868127762,168.0785281,27226.9560835654,38462.2909218717,1.3182232739123,2.34029761019548,0.31,-0.0917767260877022,102.075729603523,106.664565907908,-0.0840679299855676,4.38798219263373,1.97198936967581,2.0886713730333,3.44221982114247,3.49442947239363,1,4.49442947270088,3.69377208161684,-0.0779821926337343,2.40575809966758,27204.0669451879,143.234244977781,38998.324976727,38965.53989219,-498.647737540832,1427.3162189509,-1925.96395649173,39604.1376157138,101.638878160782,3.4185170857193e-17,TRUE,1
6,2031,2.49673977474807,0.483919635181529,17.6666812410143,18.5571756879306,-0.890494446916367,4.28,2,1,0,-1.0076,-3.46924827022561,-0.061199999910436,-0.077741919868648,0,0.214999999648445,0.042602839771074,0,0.033257943593554,3.02503112387336,176.499,158.709916572067,168.9448428,28050.5799791766,40418.3029370773,1.48212255086156,2.51363051546333,0.4,-0.117877449138438,101.924616885911,107.818489342833,-0.271856451674805,4.34435616959599,1.93649940896626,2.0341526466878,3.50576519884653,3.56265415933405,1,4.56265415890773,3.80138444052743,-0.0643561695959924,2.52850151221993,27974.322667771,146.007975285213,40956.0838833551,40844.7421269649,-364.711652655686,1541.74132862704,-1906.45298128273,41510.5905969965,101.630193839789,8.36075175089898e-18,TRUE,1
7,2032,2.49674882862794,0.456659811103743,17.6442784776922,18.3015269137856,-0.657248436093312,4.26,2,1,0,-1.24576,-2.9423332905302,-0.166599999959146,-0.051445151885683,0,0.118999999603985,0.011624203850226,0,0.043473991516131,2.98632403879879,177.305,162.672504554996,169.751807,28888.2611921172,42457.830922437,1.63634592270237,2.68166486075546,0.485333333333333,-0.148987410630967,101.602091061814,109.051461593363,-0.41558109953246,4.31400372901008,1.92037994368883,1.99660557125838,3.54210208067393,3.62122688935377,1,4.62122688946565,3.90955718624843,-0.054003729010077,2.62462131820727,28768.2070386192,148.811883158777,42989.1654918157,42810.5106451849,-282.545617884524,1660.86974523275,-1943.41536311727,43454.0059601138,101.503124595411,1.61301803120819e-18,TRUE,1
8,2033,2.49929098009459,0.42694791461042,17.608225907511,18.4926762308486,-0.884450323337632,4.24,2,1,0,-1.49079,-3.20634284677382,-0.236199999929887,-0.029267091393292,0,0.054000000359296,0.005418272425183,0,0.011937342037055,2.95841299336803,178.062,166.738163788433,170.5121712,29742.8952647829,44588.1870873315,1.7355495316186,2.89796245197258,0.570666666666667,-0.185117135048066,101.561983928379,110.817840680783,-0.511269706996207,4.29142410297654,1.91636964033618,1.97287423485588,3.57086470967371,3.67436619369363,1,4.67436619383505,3.97539593037389,-0.051424102976541,2.70149195897917,29590.8288513104,151.663668908844,45109.1661982846,44878.5366964342,-398.968166295637,1770.59310986247,-2169.56127615811,45623.5672362719,101.66010434983,1.07559120404682e-19,TRUE,1
9,2034,2.49721536457327,0.411654367579817,17.5966738638111,17.9534651418816,-0.356791278070585,4.22,2,1,0,-1.7404,-2.9567140345786,-0.277800000059309,-0.023860254329905,0,0.053999998980524,0.027500963146884,0,0.012187013666376,2.94064485584404,178.795,170.901974833165,171.249851,30617.5281843658,46817.3546635739,1.77765782174864,3.15935339696988,0.654,-0.226342178251357,101.01473874534,112.331847657908,-0.566392039941197,4.2710107566642,1.90800899410008,1.9561272391521,3.59666505226512,3.71877987924573,1,4.71877987941395,4.03667261400034,-0.0510107566642022,2.76265264026185,30444.1129419028,154.557425352407,47321.6632683033,47053.6371343839,-168.839567179238,1883.08886060831,-2051.92842778755,47675.4956640594,101.321595029731,5.36660111716635e-19,TRUE,1
10,2035,2.49895955227678,0.396543527503557,17.6229761873182,17.3084491454669,0.31452704185125,4.2,2,1,0,-1.99459,-2.6668245802919,-0.296599999882455,-0.013766152741351,0,0.044999999737898,0.044419327941066,0,0.004388897967632,2.92690041278969,179.504,175.172746058288,171.964832,31513.67274318,49151.4050506888,1.81727678294452,3.42044368559938,0.74,-0.272723217055485,99.8141686112088,113.450329463983,-0.585721532176065,4.25096702093943,1.90556020864988,1.94534440608622,3.62243017904273,3.76174484050287,1,4.76174484056121,4.08595257257314,-0.0509670209394342,2.81640043447498,31329.0903763437,157.502610149436,49634.8571244599,49344.1350788171,156.115047840658,1985.3693736651,-1829.25432582444,49504.7499898839,100.325499496161,9.95660435060644e-20,TRUE,1
