"period","year","glqstar","glfstar","rgfr_star","rgfop_star","rbudp_star","UN_path","PISTAR","tp_0","LF_fb","PROD_fb","epsxgap","epsu","epspi","epspie","epsrf","epsmpe","epstp","epsrg","gstar","LFstar","LQstar","CEstar","GDPstar","GDP$star2","rfstar","rbar10","gradual_growth","debt_contrib","debt_proxy_user","debt_proxy_base","xgap","U","PI","PIE","RF","MPE10","TP","R10","RG","ugap","real_r10","GDP","PGDP","GDP$star","GDP$","BUDP","NI","BUD","D","D_pct_GDP","solver_sse","solver_converged","solver_termcd"
1,2026,3.20023382412042,-0.330700631877438,17.726081984713,20.3045363691941,-2.57845438448112,4.4,2,0.7,0,0,-6.88847954868691,0.787927285857816,0.462011898654862,0,-0.91400000039876,-0.060843750054993,0,-0.080474622175133,2.86971042872621,170.98965991697,141.23468,163.466114880623,24152.4912763714,31520.8053067631,1.03169602951954,1.78169602951954,0.0419519233440395,-0.0102558938245036,100.524679994311,101.037474685536,1.05299999360999,4.55000000312084,2.81799999941538,2.33690000057705,3.60369602784046,3.42969603298357,0.7,4.12969603738226,3.34252391553105,-0.150000003120836,1.7927960368052,24406.8170079683,131.554088729252,31773.5898040425,32108.1657026487,-819.267519409381,1039.57240022666,-1858.83991963605,32030.839919636,99.7591709731138,9.58786496056015e-17,TRUE,1
2,2027,3.22174475889102,-0.543917320965034,17.8165965305319,19.9621925634161,-2.14559603288417,4.38,2,0.85,0.130705430117074,-0.3435,-5.52341968240056,0.720000000131127,-0.119199999417659,0,-0.280000001226053,-0.020037500186304,0,-0.077871473192496,2.68178086115141,170.059617539622,145.784900900636,162.611006291387,24800.2081649124,33013.4467153758,1.04809478116075,1.89978422163578,0.0699448456546528,-0.0218500644939024,101.448523557989,102.541026782684,0.729727977057632,4.59750881340174,2.40387279710057,2.32330184044617,3.3583315607341,3.40871195003406,0.85,4.25871195003406,3.35732508857275,-0.217508813401738,1.93541010958789,24981.1822222603,134.716481681688,33409.9678895047,33653.7697723204,-716.84294562509,1105.97844462997,-1822.82139025506,33853.6613098911,100.593964774,1.26405796373356e-17,TRUE,1
3,2028,3.18765333465311,-0.560754761651081,17.6115480234511,19.687254896841,-2.07570687338985,4.36,2,1,0.262104930346713,-0.687,-5.18691914798015,0.533800000414034,-0.138119998692841,0,0.125999998865835,-0.043822500614181,0,0.025987966880693,2.63048548816018,169.106000136623,150.432018155616,161.732978530667,25452.574041724,34559.4978531726,1.06738926658369,2.02043646801093,0.103881342940837,-0.0364920763571456,102.397115396438,104.221719214295,0.404672331737689,4.58598547286749,2.16897095186366,2.24467239064947,3.30534569630936,3.31243623954666,1,4.31243623920386,3.47535887751733,-0.225985472867486,2.06776384855439,25555.5735665859,137.638443036737,35032.5266238014,35174.2935661566,-727.172563052374,1210.20157575992,-1937.37413881229,35791.0354487034,101.753388113927,1.34580608376283e-18,TRUE,1
4,2029,3.22418477882997,-0.555835086203109,17.5977902521607,18.8757542844003,-1.27796403223955,4.34,2,1,0.393379536115518,-1.0534,-4.3408511061976,0.290399999879734,-0.12567200028246,0,0.289000000193048,0.058650250152151,0,0.014646543908839,2.6718945458414,168.166049654989,155.282224387476,160.867643099963,26132.639979321,36192.5490152093,1.1096254720825,2.17503348137243,0.165423670111831,-0.055798198029328,102.58691747011,105.376827371577,0.113872732727827,4.50391644722781,2.04017055938608,2.1588546022055,3.31505014381989,3.36855807878384,1,4.36855807806278,3.56863809254964,-0.163916447227812,2.20970347585727,26162.3979305994,140.446502029969,36702.3787390417,36744.172740688,-469.043199261288,1308.97809738322,-1778.02129664451,37569.0567453479,102.244938293975,5.07126263943035e-17,TRUE,1
5,2030,3.16949138627003,-0.542003951660589,17.6430302673608,18.8064785645535,-1.16344829719267,4.31,2,1,0.526009438117536,-1.4198,-4.1216497340663,0.071399999545583,-0.112653200173491,0,0.258000000512279,0.062077650043074,0,0.019882225662674,2.64248835724612,167.254583020508,160.203881113846,160.045910492324,26823.1919482156,37891.9115673094,1.22515372737261,2.30227488083857,0.203408203975081,-0.0782544766024708,102.751842077784,106.664565907908,-0.093497149544397,4.39602431975316,1.96535330039191,2.08491875129419,3.32783600891554,3.39251327772911,1,4.39251327711987,3.65485436449791,-0.0860243197531565,2.30759452582568,26798.1130283272,143.2067719929,38412.6273344992,38376.7126228763,-446.911058630195,1406.97268562791,-1853.88374425811,39422.940489606,102.726205021808,4.87515068049846e-17,TRUE,1
6,2031,3.19673977474807,0.575878652937907,17.6666812410143,18.2693626176688,-0.602681376654548,4.28,2,1,0.513686929738181,-1.8091,-3.46924827022561,-0.061199999910436,-0.077741919868648,0,0.214999999648445,0.042602839771074,0,0.033257943593554,3.82356754216551,168.217766460183,165.325182302102,161.018046055687,27848.7948093204,40127.5490870851,1.80149589854435,2.97054285247478,0.716783607102551,-0.115287708558202,102.054103914923,107.818489342833,-0.369062912326083,4.38512459267578,1.92111295780545,2.02728513840716,3.75359722112792,3.85770388429751,1,4.85770388722938,3.81498011962332,-0.105124592675784,2.83041874882223,27746.0152361494,145.957935846111,40647.5260617029,40497.5111182311,-244.975069644687,1537.98716973578,-1782.96223938047,41205.9027289865,101.749222584784,1.45062590323603e-17,TRUE,1
7,2032,3.15674882862794,0.544828204312021,17.6442784776922,17.8507592788338,-0.206480801141584,4.26,2,1,0.501872365048272,-2.1984,-2.9423332905302,-0.166599999959146,-0.051445151885683,0,0.118999999603985,0.011624203850226,0,0.043473991516131,3.74044717712638,169.134264296522,170.544083057851,161.92914463749,28890.4642686293,42461.0688414463,1.97421445546948,3.2349444757119,0.834478583497196,-0.160264128027716,101.038255191977,109.051461593363,-0.525582644569242,4.37744564254844,1.89339248558351,1.98438882866278,3.76255378369205,3.91828801865665,1,4.91828801823435,3.96528981206177,-0.117445642548438,2.93389918957157,28738.6210024979,148.721492435534,42966.3296318602,42740.5060603067,-88.7172216449988,1668.77835949375,-1757.49558113875,42963.3983101252,100.521501194918,5.10288028938731e-18,TRUE,1
8,2033,3.22929098009459,0.498489025884784,17.608225907511,17.8651520869861,-0.256926179475137,4.24,2,1,0.492285856137507,-2.6106,-3.20634284677382,-0.236199999929887,-0.029267091393292,0,0.054000000359296,0.005418272425183,0,0.011937342037055,3.76554966998408,169.977380043051,176.051447749123,162.770339129226,29978.3490505535,44941.1607086586,2.13415146133305,3.5964431760992,0.998155259346328,-0.214003798013279,100.117650780119,110.817840680783,-0.616974322481849,4.35570625869084,1.88069700105715,1.95484239750828,3.83383920498503,4.02215641759778,1,5.02215641759778,4.07415044105757,-0.115706258690837,3.0673140200895,29793.3903346076,151.518493083697,45422.7427327694,45142.4960735412,-116.702917516125,1789.21853538508,-1905.92145290121,44869.3197630264,99.394857763138,8.16287029317633e-19,TRUE,1
9,2034,3.20721536457327,0.443460337105567,17.5966738638111,17.1590889981027,0.437584865708359,4.22,2,1,0.488023856221056,-3.0228,-2.9567140345786,-0.277800000059309,-0.023860254329905,0,0.053999998980524,0.027500963146884,0,0.012187013666376,3.68654941103903,170.731162305593,181.697796830887,163.526307256297,31083.5157009159,47529.8975801593,2.17337759482003,3.93468654848431,1.09908358171545,-0.275705986895417,98.546548313137,112.331847657908,-0.645934009418745,4.32396846820456,1.86791732790167,1.93328063686885,3.85924378166376,4.05979570188673,1,5.05979570188673,4.17057487033272,-0.103968468204559,3.12651506501788,30882.7367016807,154.348733270982,47977.0127404507,47667.112898457,209.940146771184,1906.69070063179,-1696.7505538606,46566.070316887,97.6901420819939,1.58871646160467e-19,TRUE,1
10,2035,3.18895955227678,0.395301803044142,17.6229761873182,16.3562293927655,1.26674679455263,4.2,2,1,0.488190247298618,-3.435,-2.6668245802919,-0.296599999882455,-0.013766152741351,0,0.044999999737898,0.044419327941066,0,0.004388897967632,3.61849962454834,171.406065668546,187.492066079202,164.207010910467,32208.27259985,50234.7620805585,2.20391763982672,4.26212761014419,1.19917218369372,-0.345254543867007,96.1876022706327,113.450329463983,-0.638737735789443,4.28808189635616,1.86481235555487,1.919412088791,3.89046045431819,4.09442150451601,1,5.09442150451601,4.24867413794333,-0.0880818963561616,3.17500941572501,32002.5462087088,157.227047519662,50640.1160658285,50316.6585350685,641.482047021615,2007.45853142163,-1365.97648440002,47932.046801287,95.2607907535842,4.43244819948349e-19,TRUE,1
