"period","year","glqstar","glfstar","rgfr_star","rgfop_star","rbudp_star","UN_path","PISTAR","tp_0","LF_fb","PROD_fb","epsxgap","epsu","epspi","epspie","epsrf","epsmpe","epstp","epsrg","gstar","LFstar","LQstar","CEstar","GDPstar","GDP$star2","rfstar","rbar10","gradual_growth","debt_contrib","debt_proxy_user","debt_proxy_base","xgap","U","PI","PIE","RF","MPE10","TP","R10","RG","ugap","real_r10","GDP","PGDP","GDP$star","GDP$","BUDP","NI","BUD","D","D_pct_GDP","solver_sse","solver_converged","solver_termcd"
1,2026,3.20023382412042,-0.330700631877438,17.726081984713,20.3333363691941,-2.60725438448112,4.4,2,0.7,0,0,-6.88847954868691,0.787927285857816,0.462011898654862,0,-0.91400000039876,-0.060843750054993,0,-0.080474622175133,2.86971042872621,170.98965991697,141.23468,163.466114880623,24152.4912763714,31520.8053067631,1.03228175228274,1.76851892042433,0.0419519233440395,-0.0096701710612976,100.553966132472,101.037474685536,1.0707665860726,4.54289336583085,2.81977665873788,2.33743299838109,3.61494170048999,3.43344642688381,0.7,4.13344642947216,3.34364866620859,-0.142893365830854,1.79601343109108,24411.1080826629,131.556361938205,31774.1388406366,32114.3657023545,-828.432628053618,1040.08399107515,-1868.51661912877,32040.5166191288,99.7700434630714,3.95698752835496e-17,TRUE,1
2,2027,3.22174475889102,-0.543917320965034,17.8165965305319,20.0179925634161,-2.20139603288418,4.38,2,0.85,0.130705430117074,-0.3435,-5.52341968240056,0.720000000131127,-0.119199999417659,0,-0.280000001226053,-0.020037500186304,0,-0.077871473192496,2.68178086115141,170.059617539622,145.784900900636,162.611006291387,24800.2081649124,33013.4467153758,1.04980827826527,1.87483223201463,0.0699448456546528,-0.0201365673893869,101.534198413215,102.541026782684,0.750239214018182,4.58575099454153,2.40796708039122,2.32484992250342,3.37999144328013,3.41686337126521,0.85,4.26686336963559,3.36052151486011,-0.20575099454153,1.94201344713216,24986.2690517237,134.724195825838,33411.881013312,33662.5500468149,-735.527823139031,1107.69947949454,-1843.22730263357,33883.7439217623,100.657091856202,1.25370073529882e-17,TRUE,1
3,2028,3.18765333465311,-0.560754761651081,17.6115480234511,19.767854896841,-2.15630687338985,4.36,2,1,0.262104930346713,-0.687,-5.18691914798015,0.533800000414034,-0.138119998692841,0,0.125999998865835,-0.043822500614181,0,0.025987966880693,2.63048548816018,169.106000136623,150.432018155616,161.732978530667,25452.574041724,34559.4978531726,1.07072318677683,1.98525357404477,0.103881342940837,-0.0331581561640064,102.563811406095,104.221719214295,0.421107144195913,4.57530929376728,2.17446117934052,2.24724830730421,3.33033625055642,3.3235992398115,1,4.32359924014936,3.48080490338036,-0.215309293767281,2.07635093284515,25559.7566493954,137.653721163249,35036.4153002642,35183.9561481638,-755.49263130901,1213.69887716958,-1969.19150847859,35852.9354302409,101.901375954597,3.8636269812036e-17,TRUE,1
4,2029,3.22418477882997,-0.555835086203109,17.5977902521607,18.9790542844003,-1.38126403223955,4.34,2,1,0.393379536115518,-1.0534,-4.3408511061976,0.290399999879734,-0.12567200028246,0,0.289000000193048,0.058650250152151,0,0.014646543908839,2.6718945458414,168.166049654989,155.282224387476,160.867643099963,26132.639979321,36192.5490152093,1.11502629054256,2.13106969806257,0.165423670111831,-0.0503973795692741,102.856958393113,105.376827371577,0.124144196672385,4.49652088489839,2.0460525218153,2.16216474165043,3.33961044946782,3.38185202474627,1,4.38185202409305,3.57614319588258,-0.156520884898395,2.21968728244263,26165.0821352926,140.470188596482,36708.568664192,36754.1402218701,-507.042255708442,1314.72684681503,-1821.76910252347,37674.7045327644,102.504654728249,6.01938168294976e-17,TRUE,1
5,2030,3.16949138627003,-0.542003951660589,17.6430302673608,18.9309785645535,-1.28794829719267,4.31,2,1,0.526009438117536,-1.4198,-4.1216497340663,0.071399999545583,-0.112653200173491,0,0.258000000512279,0.062077650043074,0,0.019882225662674,2.64248835724612,167.254583020508,160.203881113846,160.045910492324,26823.1919482156,37891.9115673094,1.23303635775951,2.25066193600423,0.203408203975081,-0.0703718462155686,103.14597359713,106.664565907908,-0.0879984613140946,4.39177054473674,1.97101279594315,2.08860268421371,3.35129140542135,3.40774278608174,1,4.40774278477536,3.66419526107773,-0.0817705447367443,2.31914010056165,26799.5879520259,143.238873988204,38421.2381143188,38387.4280159604,-494.845682053709,1415.47365339507,-1910.31933544878,39585.0238682132,103.119760593898,2.51313370983438e-18,TRUE,1
6,2031,3.19673977474807,0.575878652937907,17.6666812410143,18.3874626176688,-0.720781376654546,4.28,2,1,0.513686929738181,-1.8091,-3.46924827022561,-0.061199999910436,-0.077741919868648,0,0.214999999648445,0.042602839771074,0,0.033257943593554,3.82356754216551,168.217766460183,165.325182302102,161.018046055687,27848.7948093204,40127.5490870851,1.81169340034437,2.92430318613321,0.716783607102551,-0.105090206758177,102.563979004924,107.818489342833,-0.382171048285653,4.38926811045795,1.92474879260221,2.0305862483553,3.76692287473929,3.87177821637233,1,4.87177822206571,3.82506000847943,-0.109268110457953,2.84119197371041,27742.3647782627,145.995862485829,40658.0881737761,40502.7047319895,-293.055927660363,1549.38821435751,-1842.44414201787,41427.468010231,102.283213638103,3.21367304121679e-17,TRUE,1
7,2032,3.15674882862794,0.544828204312021,17.6442784776922,17.9628592788338,-0.318580801141586,4.26,2,1,0.501872365048272,-2.1984,-2.9423332905302,-0.166599999959146,-0.051445151885683,0,0.118999999603985,0.011624203850226,0,0.043473991516131,3.74044717712638,169.134264296522,170.544083057851,161.92914463749,28890.4642686293,42461.0688414463,1.98658227758135,3.19374238631934,0.834478583497196,-0.147896305915848,101.65664629757,109.051461593363,-0.541338958820119,4.38636979391243,1.89462992011496,1.98674072500163,3.76847232380974,3.93124842268497,1,4.93124842268497,3.97538032928655,-0.126369793912427,2.94450769768333,28734.0689301592,148.761943778616,42978.0162126794,42745.3594671921,-136.919708365115,1683.07527549132,-1819.99498385643,43247.4629940875,101.174638681611,6.04229783090543e-19,TRUE,1
8,2033,3.22929098009459,0.498489025884784,17.608225907511,17.9719520869861,-0.363726179475137,4.24,2,1,0.492285856137507,-2.6106,-3.20634284677382,-0.236199999929887,-0.029267091393292,0,0.054000000359296,0.005418272425183,0,0.011937342037055,3.76554966998408,169.977380043051,176.051447749123,162.770339129226,29978.3490505535,44941.1607086586,2.14855956202137,3.55981410864592,0.998155259346328,-0.199595697324959,100.838055814535,110.817840680783,-0.6284056720715,4.36343006184116,1.88056071570472,1.95621264969791,3.84025093209379,4.03585003626707,1,5.03585003626707,4.08435601596261,-0.123430061841162,3.07963738656916,29789.9634047265,151.559502453235,45435.0366647131,45149.5203172043,-165.259123003689,1806.65025623025,-1971.90937923394,45219.3723733214,100.154712731445,1.987925996247e-18,TRUE,1
9,2034,3.20721536457327,0.443460337105567,17.5966738638111,17.2616889981027,0.334984865708361,4.22,2,1,0.488023856221056,-3.0228,-2.9567140345786,-0.277800000059309,-0.023860254329905,0,0.053999998980524,0.027500963146884,0,0.012187013666376,3.68654941103903,170.731162305593,181.697796830887,163.526307256297,31083.5157009159,47529.8975801593,2.1897229326798,3.9020017978485,1.09908358171545,-0.259360649035651,99.3638152061253,112.331847657908,-0.651281670489209,4.32839380213201,1.86742797783841,1.933955983245,3.870185085341,4.0754231686037,1,5.0754231686037,4.18137168283937,-0.108393802132008,3.14146718535871,30881.0744606122,154.38976700512,47989.7674676439,47677.2189084167,160.758458105241,1927.73189504346,-1766.97343693822,46986.3458102596,98.5509366654037,4.05697493017719e-19,TRUE,1
10,2035,3.18895955227678,0.395301803044142,17.6229761873182,16.4555293927655,1.16744679455263,4.2,2,1,0.488190247298618,-3.435,-2.6668245802919,-0.296599999882455,-0.013766152741351,0,0.044999999737898,0.044419327941066,0,0.004388897967632,3.61849962454834,171.406065668546,187.492066079202,164.207010910467,32208.27259985,50234.7620805585,2.22211778684766,4.23287465982,1.19917218369372,-0.327054396846065,97.0976096216797,113.450329463983,-0.639719531508904,4.28954414711109,1.86453979102258,1.91973552725677,3.90665322151962,4.11242303033597,1,5.11242303033597,4.26055115166684,-0.0895441471110914,3.1926875030792,32002.2299892671,157.268425644197,50653.4432449754,50329.4032751555,591.351999494002,2032.57941313009,-1441.22741363608,48427.5732238957,96.2212346511197,1.42468625226216e-19,TRUE,1
