"period","year","glqstar","glfstar","rgfr_star","rgfop_star","rbudp_star","UN_path","PISTAR","tp_0","LF_fb","PROD_fb","epsxgap","epsu","epspi","epspie","epsrf","epsmpe","epstp","epsrg","gstar","LFstar","LQstar","CEstar","GDPstar","GDP$star2","rfstar","rbar10","gradual_growth","debt_contrib","debt_proxy_user","debt_proxy_base","xgap","U","PI","PIE","RF","MPE10","TP","R10","RG","ugap","real_r10","GDP","PGDP","GDP$star","GDP$","BUDP","NI","BUD","D","D_pct_GDP","solver_sse","solver_converged","solver_termcd"
1,2026,3.20023382412042,-0.330700631877438,17.726081984713,20.5245363691941,-2.79845438448112,4.4,2,0.7,0,0,-6.88847954868691,0.787927285857816,0.462011898654862,0,-0.91400000039876,-0.060843750054993,0,-0.080474622175133,2.86971042872621,170.98965991697,141.23468,163.466114880623,24152.4912763714,31520.8053067631,1.03617030062736,1.68103755726453,0.0419519233440395,-0.00578162271668049,100.748393549702,101.037474685536,1.18871700080183,4.4957131979147,2.83157170071692,2.34097151102316,3.68960050374773,3.45834489612393,0.7,4.15834490004858,3.35111576654176,-0.0957131979147041,1.81737338902542,24439.5960462908,131.571453517492,31777.7838330073,32155.5317519083,-889.286784965725,1043.48333112667,-1932.7701160924,32104.7701160924,99.842137159455,7.24180550071531e-17,TRUE,1
2,2027,3.22174475889102,-0.543917320965034,17.8165965305319,20.3876925634161,-2.57109603288417,4.38,2,0.85,0.130705430117074,-0.3435,-5.52341968240056,0.720000000131127,-0.119199999417659,0,-0.280000001226053,-0.020037500186304,0,-0.077871473192496,2.68178086115141,170.059617539622,145.784900900636,162.611006291387,24800.2081649124,33013.4467153758,1.06116873833752,1.7095218956267,0.0699448456546528,-0.00877610731713617,102.102221416827,102.541026782684,0.88594831391106,4.5078772727573,2.43510228823007,2.3351135918494,3.52349604081431,3.47088205633761,0.85,4.32088205628535,3.38171293995135,-0.127877272757296,1.98576846443595,25019.9251909959,134.775352992754,33424.5680971985,33720.6924946876,-859.377744355739,1119.14514768759,-1978.52289204333,34083.2930081357,101.075305655438,5.24487880321816e-18,TRUE,1
3,2028,3.18765333465311,-0.560754761651081,17.6115480234511,20.302154896841,-2.69060687338985,4.36,2,1,0.262104930346713,-0.687,-5.18691914798015,0.533800000414034,-0.138119998692841,0,0.125999998865835,-0.043822500614181,0,0.025987966880693,2.63048548816018,169.106000136623,150.432018155616,161.732978530667,25452.574041724,34559.4978531726,1.09282546505629,1.75202664878441,0.103881342940837,-0.0110558778845521,103.668925320067,104.221719214295,0.530088247810153,4.50457503963244,2.21084418144772,2.26432140915483,3.49593878718512,3.3975826159779,1,4.39758261615945,3.5169029309859,-0.144575039632443,2.13326120700462,25587.4951454843,137.75502604242,35062.199999643,35248.0606012648,-943.385963152089,1237.01767042799,-2180.40363358008,36263.6966417158,102.88139552397,3.27401911016424e-18,TRUE,1
4,2029,3.22418477882997,-0.555835086203109,17.5977902521607,19.6644542844003,-2.06666403223955,4.34,2,1,0.393379536115518,-1.0534,-4.3408511061976,0.290399999879734,-0.12567200028246,0,0.289000000193048,0.058650250152151,0,0.014646543908839,2.6718945458414,168.166049654989,155.282224387476,160.867643099963,26132.639979321,36192.5490152093,1.1508427288153,1.83934985314948,0.165423670111831,-0.0145809412965269,104.647780306751,105.376827371577,0.192639018287088,4.44732675089008,2.0850791072963,2.18411657756506,3.50267419271087,3.47006013700354,1,4.47006013700354,3.6259166130338,-0.107326750890078,2.28594355943848,26182.9816404297,140.627327309681,36749.6331583803,36820.4272909207,-759.491450464223,1353.19349830133,-2112.68494876556,38376.3815904814,104.225790991688,6.2940511458586e-17,TRUE,1
5,2030,3.16949138627003,-0.542003951660589,17.6430302673608,19.7565785645535,-2.11354829719266,4.31,2,1,0.526009438117536,-1.4198,-4.1216497340663,0.071399999545583,-0.112653200173491,0,0.258000000512279,0.062077650043074,0,0.019882225662674,2.64248835724612,167.254583020508,160.203881113846,160.045910492324,26823.1919482156,37891.9115673094,1.28531047982388,1.90840154479426,0.203408203975081,-0.0180977241511985,105.759679700348,106.664565907908,-0.0516489150664446,4.36353176237257,2.00856170212249,2.11303845651053,3.50690212220856,3.50875959382296,1,4.50875959512551,3.72614883749864,-0.0535317623725735,2.39572113861498,26809.3380605882,143.451913948741,38478.38223186,38458.5085649022,-813.259192448763,1472.54737390764,-2285.80656635641,40662.1881568378,105.730018334478,3.91388069440757e-18,TRUE,1
6,2031,3.19673977474807,0.575878652937907,17.6666812410143,19.1705626176688,-1.50388137665455,4.28,2,1,0.513686929738181,-1.8091,-3.46924827022561,-0.061199999910436,-0.077741919868648,0,0.214999999648445,0.042602839771074,0,0.033257943593554,3.82356754216551,168.217766460183,165.325182302102,161.018046055687,27848.7948093204,40127.5490870851,1.87931694688559,2.61770195391337,0.716783607102551,-0.037466660216958,105.945156331985,107.818489342833,-0.469195528805177,4.4168079850848,1.94885616332467,2.05247992272629,3.85522128809858,3.96509579788919,1,4.96509580019248,3.89190630648026,-0.136807985084801,2.91261587746619,27718.1295092489,146.247585415139,40728.1899758475,40537.0951295176,-612.503664095255,1626.09637324387,-2238.60003733913,42900.7881941769,105.830938445656,9.53037773102247e-17,TRUE,1
7,2032,3.15674882862794,0.544828204312021,17.6442784776922,18.7062592788338,-1.06198080114158,4.26,2,1,0.501872365048272,-2.1984,-2.9423332905302,-0.166599999959146,-0.051445151885683,0,0.118999999603985,0.011624203850226,0,0.043473991516131,3.74044717712638,169.134264296522,170.544083057851,161.92914463749,28890.4642686293,42461.0688414463,2.06859849855843,2.92050550995129,0.834478583497196,-0.0658800849387697,105.757457346424,109.051461593363,-0.645817997979658,4.4455663028441,1.90283131542877,2.00233734828766,3.80769482617585,4.01718804724292,1,5.01718804724292,4.04229437339199,-0.185566302844102,3.01485069895526,28703.8844506826,149.030430268476,43055.5832060987,42777.5225006186,-457.242027468308,1779.38160289612,-2236.62363036442,45137.4118245413,105.516657314337,7.00760780808581e-18,TRUE,1
8,2033,3.22929098009459,0.498489025884784,17.608225907511,18.6801520869861,-1.07192617947514,4.24,2,1,0.492285856137507,-2.6106,-3.20634284677382,-0.236199999929887,-0.029267091393292,0,0.054000000359296,0.005418272425183,0,0.011937342037055,3.76554966998408,169.977380043051,176.051447749123,162.770339129226,29978.3490505535,44941.1607086586,2.24410499765261,3.31692768587009,0.998155259346328,-0.104050261693715,105.615327596097,110.817840680783,-0.704246879206387,4.41466235219502,1.87965165241617,1.96529790476884,3.88274595064923,4.12665029375325,1,5.12665029375325,4.15203074694074,-0.174662352195019,3.1613523889844,29767.2274629274,151.831683213621,45516.6319631099,45196.0825029899,-487.904694027924,1924.19477308896,-2412.09946711689,47549.5112916582,105.207152165263,1.88452128440713e-18,TRUE,1
9,2034,3.20721536457327,0.443460337105567,17.5966738638111,17.9420889981027,-0.345415134291642,4.22,2,1,0.488023856221056,-3.0228,-2.9567140345786,-0.277800000059309,-0.023860254329905,0,0.053999998980524,0.027500963146884,0,0.012187013666376,3.68654941103903,170.731162305593,181.697796830887,163.526307256297,31083.5157009159,47529.8975801593,2.29811534346099,3.68524730597482,1.09908358171545,-0.15096823825446,104.783435745185,112.331847657908,-0.686717044378839,4.35773619365612,1.86418047584857,1.93843288563989,3.94274010064265,4.17905332643411,1,5.17905332643411,4.25296730788922,-0.137736193656123,3.24062044079422,30870.0599006056,154.662099808241,48074.418077261,47744.2828543385,-166.056315761496,2069.81051293144,-2235.86682869294,49785.3781203512,104.275056915694,1.02145634356685e-18,TRUE,1
10,2035,3.18895955227678,0.395301803044142,17.6229761873182,17.1138293927655,0.509146794552631,4.2,2,1,0.488190247298618,-3.435,-2.6668245802919,-0.296599999882455,-0.013766152741351,0,0.044999999737898,0.044419327941066,0,0.004388897967632,3.61849962454834,171.406065668546,187.492066079202,164.207010910467,32208.27259985,50234.7620805585,2.34280612926985,4.03897716153422,1.19917218369372,-0.206366054423876,103.132026742789,113.450329463983,-0.646338061599612,4.29927863284836,1.86272086979079,1.92187599231662,4.01396923577134,4.23177497697096,1,5.23177497697096,4.33930376765503,-0.099278632848363,3.30989898465435,32000.0982750534,157.543023019026,50741.8863160124,50413.9221915784,258.350687673517,2202.52050559708,-1944.16981792357,51729.5479382747,102.609647671722,9.43385682188228e-19,TRUE,1
