"period","year","glqstar","glfstar","rgfr_star","rgfop_star","rbudp_star","UN_path","PISTAR","tp_0","LF_fb","PROD_fb","epsxgap","epsu","epspi","epspie","epsrf","epsmpe","epstp","epsrg","gstar","LFstar","LQstar","CEstar","GDPstar","GDP$star2","rfstar","rbar10","gradual_growth","debt_contrib","debt_proxy_user","debt_proxy_base","xgap","U","PI","PIE","RF","MPE10","TP","R10","RG","ugap","real_r10","GDP","PGDP","GDP$star","GDP$","BUDP","NI","BUD","D","D_pct_GDP","solver_sse","solver_converged","solver_termcd"
1,2026,1.60023382412042,0.64002051796197,17.726081984713,20.3045363691941,-2.57845438448112,4.4,2,0.7,0,0,-6.88847954868691,0.787927285857816,0.462011898654862,0.5,-0.91400000039876,-0.060843750054993,1,0.5,2.26119294439677,172.655,139.045,165.05818,24009.6191600747,31334.3465224487,1,1.75,0,0,101.037474685536,101.037474685536,0.0659484186962587,4.9448206325605,2.71929484205547,2.80728845261664,2.97976905115168,3.69093143706103,1.7,5.39093143706103,4.00752694302265,-0.544820632560497,2.58364298444439,24025.4531242457,131.427796960987,31555.3135208093,31576.1237510909,-813.639365014071,1250.51173498742,-2064.15110000149,32236.1511000015,102.090273505746,1.75047772645356e-30,TRUE,1
2,2027,1.72174475889102,0.43149633662507,17.8165965305319,20.174987133299,-2.3583906027671,4.38,2,0.85,0,0,-5.52341968240056,0.720000000131127,-0.119199999417659,0.5,-0.280000001226053,-0.020037500186304,1,0.435275281648062,2.1820428862569,173.4,141.439,165.80508,24533.5193469745,32658.4369097308,1,1.75,0,0,102.541026782684,102.541026782684,-1.85675713263069,5.82951316944415,2.28171335555736,3.06888707823719,1.83391354044451,3.69052252077219,1.85,5.54052252077219,4.45119422227379,-1.44951316944415,2.471635442535,24077.9914766142,134.426602557161,32979.5765458416,32367.2259060152,-777.787234089509,1485.26000931969,-2263.0472434092,34499.1983434107,106.586824720741,5.5713301431234e-30,TRUE,1
3,2028,1.68765333465311,0.419838523644733,17.6115480234511,20.1121499664943,-2.50060194304314,4.36,2,1,0,0,-5.18691914798015,0.533800000414034,-0.138119998692841,0.5,0.125999998865835,-0.043822500614181,1,0.3789291416276,2.1359356911304,174.128,143.826,166.5360192,25057.5395429969,34023.1201222481,1,1.75,0,0,104.221719214295,104.221719214295,-2.84913030525939,6.40480354904393,2.02597933094345,3.14912604622535,1.13315511170881,3.56677194564929,2,5.56677194564929,4.72047852886794,-2.04480354904393,2.41764589942394,24343.617590125,137.150057740259,34366.4299515083,33387.2855809242,-859.367615121976,1688.66696301685,-2548.03457813883,37047.2329215495,110.962099125292,1.42981039071308e-30,TRUE,1
4,2029,1.62418477882997,0.423826150877527,17.5977902521607,19.5357747482848,-1.93798449612403,4.34,2,1,0,0,-4.3408511061976,0.290399999879734,-0.12567200028246,0.5,0.289000000193048,0.058650250152151,1,0.329876977693224,2.07623611642491,174.866,146.162,167.2768156,25577.793228876,35424.110838764,1,1.75,0,0,105.376827371577,105.376827371577,-3.39746520917973,6.55921214290528,1.90707765226489,3.16159892271205,0.883943161817548,3.61863503064909,2,5.6186350236856,4.88440213570392,-2.21921214290528,2.45703610097355,24708.796602649,139.765615841491,35748.9602250019,34534.4017387139,-692.809306686083,1872.17798301881,-2564.98728970489,39612.2202112544,114.703652638778,6.92999147230066e-17,TRUE,1
5,2030,1.56949138627003,0.447771436414168,17.6430302673608,19.7002691264359,-2.05723885907513,4.31,2,1,0,0,-4.1216497340663,0.071399999545583,-0.112653200173491,0.5,0.258000000512279,0.062077650043074,1,0.287174588749259,2.05628646645455,175.649,148.456,168.0785281,26103.7459294591,36875.5826765195,1.1,1.75,0,0,106.664565907908,106.664565907908,-3.63997514027805,6.51688309617792,1.8699643132705,3.15794864755131,0.891045530875357,3.69541588986331,2,5.6954158897771,4.98645432632871,-2.20688309617792,2.53746724222578,25153.5760669455,142.37918297995,37166.3001815259,35813.4560943572,-764.59956981486,2045.30251040122,-2809.90208021608,42422.1222914705,118.453025532363,2.04639469917106e-18,TRUE,1
6,2031,1.49673977474807,0.483919635181529,17.6666812410143,19.5647756879306,-1.89809444691637,4.28,2,1,0,0,-3.46924827022561,-0.061199999910436,-0.077741919868648,0.5,0.214999999648445,0.042602839771074,1,0.25,2.01987689798981,176.499,150.678,168.9448428,26631.0094629982,38372.8325330417,1.2,1.75,0,0,107.818489342833,107.818489342833,-3.74965553821572,6.44665724343146,1.89455024968439,3.16313426349993,1.03744325558577,3.79240202639414,2,5.79240202631981,5.05378169342835,-2.16665724343146,2.62926776281988,25632.4383417862,145.076628146595,38635.3705703186,37186.6772580184,-733.335823340777,2218.5114078234,-2951.84723116417,45373.9695226347,122.016735208174,4.7593006555184e-18,TRUE,1
7,2032,1.45674882862794,0.456659811103743,17.6442784776922,19.5472869137856,-1.90300843609331,4.26,2,1,0,0,-2.9423332905302,-0.166599999959146,-0.051445151885683,0.5,0.118999999603985,0.011624203850226,1,0.217637640824031,1.94135648397977,177.305,152.873,169.751807,27148.0122919574,39900.1417256187,1.3,1.75,0,0,109.051461593363,109.051461593363,-3.78025915624196,6.35543477025759,1.95353841214208,3.18394208183368,1.23064205302321,3.90423041958746,2,5.90423041661253,5.1015882326319,-2.09543477025759,2.72028833477884,26121.747071553,147.91075580448,40154.8301669272,38636.8735228686,-764.149805575568,2395.3863522617,-3159.53615783727,48533.5056804719,125.614474607387,1.1148887675734e-17,TRUE,1
8,2033,1.42929098009459,0.42694791461042,17.608225907511,19.9834662308486,-2.37524032333763,4.24,2,1,0,0,-3.20634284677382,-0.236199999929887,-0.029267091393292,0.5,0.054000000359296,0.005418272425183,1,0.1894645708138,1.88362017432016,178.062,155.058,170.5121712,27659.3777284156,41464.7430216397,1.35,1.8,0,0,110.817840680783,110.817840680783,-3.9143674668733,6.32559881773339,2.01807345104036,3.21578728428208,1.35454808470662,3.99635587148813,2,5.99635587359723,5.13072688763643,-2.08559881773339,2.78056858931515,26576.6880450749,150.895703498603,41736.8126066287,40103.0803922449,-991.349602708508,2581.78552789937,-3573.13513060788,52106.6408110798,129.931766591067,1.37855812644894e-17,TRUE,1
9,2034,1.40721536457327,0.411654367579817,17.5966738638111,19.6938651418816,-2.09719127807059,4.22,2,1,0,0,-2.9567140345786,-0.277800000059309,-0.023860254329905,0.5,0.053999998980524,0.027500963146884,1,0.164938488846612,1.84592923363163,178.795,157.24,171.249851,28169.9502677451,43074.7558914209,1.35,1.9,0,0,112.331847657908,112.331847657908,-4.10400214089308,6.36667435013259,2.05640152579817,3.2463928283087,1.37012870044427,4.05102641518148,2,6.05102641518148,5.13698878306095,-2.14667435013259,2.80463358687279,27013.8549056683,153.998725047712,43381.3642589019,41600.992140968,-909.790187545722,2771.25985765545,-3681.05004520117,55787.690856281,134.101827829587,8.49874708687894e-19,TRUE,1
10,2035,1.38895955227678,0.396543527503557,17.6229761873182,19.3030391454669,-1.68006295814875,4.2,2,1,0,0,-2.6668245802919,-0.296599999882455,-0.013766152741351,0.5,0.044999999737898,0.044419327941066,1,0.143587294374629,1.81226607935601,179.504,159.424,171.964832,28680.4647210189,44732.4927828307,1.35,2,0,0,113.450329463983,113.450329463983,-4.25569244359783,6.42647740679816,2.08101167249157,3.27213919870869,1.33054593792289,4.08218631155614,2,6.08218631155614,5.12133297394649,-2.22647740679816,2.81004711284745,27459.9123510977,157.203456491443,45086.6818792506,43167.9313654463,-757.484641311653,2952.06253868263,-3709.54717999428,59497.2380362753,137.827401393386,1.39532021432921e-18,TRUE,1
