"period","year","glqstar","glfstar","rgfr_star","rgfop_star","rbudp_star","UN_path","PISTAR","tp_0","LF_fb","PROD_fb","epsxgap","epsu","epspi","epspie","epsrf","epsmpe","epstp","epsrg","gstar","LFstar","LQstar","CEstar","GDPstar","GDP$star2","rfstar","rbar10","gradual_growth","debt_contrib","debt_proxy_user","debt_proxy_base","xgap","U","PI","PIE","RF","MPE10","TP","R10","RG","ugap","real_r10","GDP","PGDP","GDP$star","GDP$","BUDP","NI","BUD","D","D_pct_GDP","solver_sse","solver_converged","solver_termcd"
1,2026,1.60023382412042,0.64002051796197,17.726081984713,20.3045363691941,-2.57845438448112,4.4,2,0.7,0,0,-6.88847954868691,0.787927285857816,0.462011898654862,0,-0.91400000039876,-0.060843750054993,0,-0.080474622175133,2.26119294439677,172.655,139.045,165.05818,24009.6191600747,31334.3465224487,1,1.75,0,0,101.037474685536,101.037474685536,1.05299999336739,4.55000000321788,2.81799999939112,2.33690000056977,3.57199999516561,3.39800000275584,0.7,4.09800000732942,3.33724124382111,-0.150000003217877,1.76110000675965,24262.4404482378,131.554088729221,31585.6356933927,31918.2324351491,-814.421208402518,1037.81929509443,-1852.24050349695,32024.240503497,100.332123868586,8.91107710579714e-17,TRUE,1
2,2027,1.72174475889102,0.43149633662507,17.8165965305319,21.674987133299,-3.8583906027671,4.38,2,0.85,0,0,-5.52341968240056,0.720000000131127,-0.119199999417659,0,-0.280000001226053,-0.020037500186304,0,-0.077871473192496,2.1820428862569,173.4,141.439,165.80508,24533.5193469745,32658.4369097308,1.03049555273189,1.06368139343986,0,0.0304955527318933,104.065804419279,102.541026782684,1.78634323331318,4.17486270174504,2.50953432613373,2.35500029890433,3.97470150202826,3.57932231820458,0.85,4.42932231557959,3.41107522986372,0.205137298254958,2.07432201667526,24971.7722097227,134.855483743313,33084.7961946217,33675.8042126998,-1276.54066731793,1133.47465318354,-2410.01532050148,34434.2558239984,102.252215289376,7.45712715513164e-17,TRUE,1
3,2028,1.68765333465311,0.419838523644733,17.6115480234511,20.9121499664943,-3.30060194304314,4.36,2,1,0,0,-5.18691914798015,0.533800000414034,-0.138119998692841,0,0.125999998865835,-0.043822500614181,0,0.025987966880693,2.1359356911304,174.128,143.826,166.5360192,25057.5395429969,34023.1201222481,1.04650372327624,1.41420283832048,0,0.0465037232762367,106.546905378107,104.221719214295,0.332957112370012,4.40334851191243,2.28331018519015,2.29799323547596,3.69577558060993,3.44436784505799,1,4.44436784622258,3.55937248157362,-0.0433485119124342,2.14637461074663,25140.9704030902,137.934652738912,34563.0301535482,34678.110220695,-1140.7880448226,1268.52157788738,-2409.30962270998,36843.5654467084,106.244444152903,1.15583867895742e-17,TRUE,1
4,2029,1.62418477882997,0.423826150877527,17.5977902521607,20.2357747482848,-2.63798449612403,4.34,2,1,0,0,-4.3408511061976,0.290399999879734,-0.12567200028246,0,0.289000000193048,0.058650250152151,0,0.014646543908839,2.07623611642491,174.866,146.162,167.2768156,25577.793228876,35424.110838764,1.06037137790131,1.47585810356503,0,0.0603713779013128,108.395396266643,105.376827371577,-0.0154670575426438,4.56999540431783,2.10748085851156,2.21104019788145,3.33433769079965,3.3853633936264,1,4.3853633936264,3.64161579760866,-0.229995404317832,2.17432319574495,25573.8370968792,140.841599142639,36024.1730089465,36018.601129378,-950.312098832907,1384.20823026095,-2334.52032909386,39178.0857758023,108.771813861053,2.31237855495199e-17,TRUE,1
5,2030,1.56949138627003,0.447771436414168,17.6430302673608,20.4002691264359,-2.75723885907513,4.31,2,1,0,0,-4.1216497340663,0.071399999545583,-0.112653200173491,0,0.258000000512279,0.062077650043074,0,0.019882225662674,2.05628646645455,175.649,148.456,168.0785281,26103.7459294591,36875.5826765195,1.17414231304747,1.48962903871119,0,0.074142313047474,110.371681560282,106.664565907908,-0.170413192336727,4.45265868738485,2.0109426561768,2.12990691604484,3.31136893945436,3.39231435391546,1,4.39231435391546,3.71455142157591,-0.142658687384848,2.26240743787062,26059.2617027013,143.673842937439,37504.2549274794,37440.3427293953,-1034.08189066706,1502.39959670489,-2536.48148737194,41714.5672631742,111.41609350286,1.82177290381596e-18,TRUE,1
6,2031,1.49673977474807,0.483919635181529,17.6666812410143,20.1647756879306,-2.49809444691637,4.28,2,1,0,0,-3.46924827022561,-0.061199999910436,-0.077741919868648,0,0.214999999648445,0.042602839771074,0,0.033257943593554,2.01987689798981,176.499,150.678,168.9448428,26631.0094629982,38372.8325330417,1.28580146867973,1.54907580496292,0,0.085801468679733,112.10856277682,107.818489342833,-0.324159132921114,4.3825462919211,1.9670462934535,2.0680580377933,3.33234776331408,3.40384529220935,1,4.40384529162044,3.79125850830562,-0.102546291921097,2.33578725382714,26544.6826136348,146.499973939603,39014.4219231455,38887.9531113252,-974.61710755862,1630.89798692027,-2605.51509447889,44320.0823576531,113.968668473697,1.22524826149976e-18,TRUE,1
7,2032,1.45674882862794,0.456659811103743,17.6442784776922,20.1472869137856,-2.50300843609331,4.26,2,1,0,0,-2.9423332905302,-0.166599999959146,-0.051445151885683,0,0.118999999603985,0.011624203850226,0,0.043473991516131,1.94135648397977,177.305,152.873,169.751807,27148.0122919574,39900.1417256187,1.39744146239731,1.5607157986805,0,0.0974414623973138,113.923534713228,109.051461593363,-0.340774096606622,4.29454146487508,1.95747164751895,2.02807631692205,3.39684329216411,3.43523767077938,1,4.43523767161142,3.87283606846872,-0.0345414648750815,2.40716135468938,27055.4988983228,149.367669393093,40550.3532470472,40412.1681470987,-1014.97876263923,1770.38033092826,-2785.35909356749,47105.4414512206,116.562519684068,8.10834011703455e-19,TRUE,1
8,2033,1.42929098009459,0.42694791461042,17.608225907511,20.4834662308486,-2.87524032333763,4.24,2,1,0,0,-3.20634284677382,-0.236199999929887,-0.029267091393292,0,0.054000000359296,0.005418272425183,0,0.011937342037055,1.88362017432016,178.062,155.058,170.5121712,27659.3777284156,41464.7430216397,1.45702754878906,1.66808949569172,0,0.107027548789061,116.169218120236,110.817840680783,-0.418394605982868,4.23931266299231,1.96367872507913,2.00594940764882,3.43907233637684,3.46353458778546,1,4.46353458728146,3.91492568023564,0.000687337007687638,2.45758517963264,27543.6523839515,152.300770539112,42125.4454067004,41949.1948153725,-1211.20779271903,1905.14446150582,-3116.35225422486,50221.7937054454,119.720518895493,1.72654786741134e-18,TRUE,1
9,2034,1.40721536457327,0.411654367579817,17.5966738638111,20.1938651418816,-2.59719127807059,4.22,2,1,0,0,-2.9567140345786,-0.277800000059309,-0.023860254329905,0,0.053999998980524,0.027500963146884,0,0.012187013666376,1.84592923363163,178.795,157.24,171.249851,28169.9502677451,43074.7558914209,1.46659603789986,1.77765798480252,0,0.116596037899863,118.161649552901,112.331847657908,-0.426481539410071,4.1964715368758,1.96683592781512,1.99362042293541,3.47779635563481,3.49091622694811,1,4.49091622707035,3.95556979368143,0.0235284631241948,2.49729580413493,28049.8106301921,155.296276812414,43746.8839457167,43560.3115616211,-1136.19025426582,2049.56549777163,-3185.75575203745,53407.5494574829,122.605985914338,1.43651342219026e-20,TRUE,1
10,2035,1.38895955227678,0.396543527503557,17.6229761873182,19.8030391454669,-2.18006295814875,4.2,2,1,0,0,-2.6668245802919,-0.296599999882455,-0.013766152741351,0,0.044999999737898,0.044419327941066,0,0.004388897967632,1.81226607935601,179.504,159.424,171.964832,28680.4647210189,44732.4927828307,1.47614951752803,1.88721146443068,0,0.126149517528029,119.757805340384,113.450329463983,-0.466985150594671,4.17549036895671,1.97258943039474,1.98794908285944,3.4908380090409,3.51294323350281,1,4.51294323350281,3.98471391671456,0.0245096310432942,2.52499415064337,28546.5312096502,158.359634754612,45418.2791781309,45206.1825587134,-990.147080591018,2191.52838840747,-3181.67546899849,56589.2249264814,125.180277836961,5.39888323556983e-19,TRUE,1
